split,cohort,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std
dev,NACT,v2_remove_small_50,20,20,0.5458061252131479,0.6314316715122353,0.2510736032608034,0.41135940645520924,0.46168256090071025,0.22196512164613694,0.5358562901676921,0.5409727875912708,0.31229287016664026,0.7225086639704942,0.8023958449096158,0.2557670428989844,32.420441422878724,23.830653534769954,30.54692428274819,27.32588650143428,9.669671342106085,38.05059624213151,2.5372482984174463,1.4041365084864759,3.788632577226501,4.8,4.0,3.928304843996762,0.8249458186000105,0.9248138812302423,0.19862571756309944
dev,NACT,v2_remove_small_500,20,20,0.5526845462023442,0.6558254128817089,0.25457826207886985,0.4192360426174286,0.4879488953338832,0.22584640505006814,0.5471801326449114,0.5505202764813315,0.3139471436063643,0.7208684929354783,0.7970766959734457,0.25603966457446087,32.042515777096675,23.2025146484375,30.47694534230796,27.32588650143428,9.669671342106085,38.05059624213151,2.5014759494677103,1.3370860894387913,3.7947165528510896,1.75,2.0,0.7863975156570492,0.8425308219588163,0.9304591076187014,0.19323272687377005
dev,NACT,v2_remove_small_500_fillholes,20,20,0.5554559724573244,0.6550425791475178,0.2564806279421507,0.4227081431688771,0.4870829406156882,0.22873255104257262,0.5478332437589122,0.5535330293676122,0.31441972545420127,0.7259921100495424,0.8051966011254847,0.2572610703903165,32.319221859296206,23.3087158203125,30.904794529604615,27.32588650143428,9.669671342106085,38.05059624213151,2.5146019516311617,1.3429219041004279,3.816598853981207,1.75,2.0,0.7863975156570492,0.8427126837555221,0.9306110703691911,0.19321611369265448
dev,NACT,v2_remove_small_50_fillholes,20,20,0.5485723764510977,0.6306937570431677,0.25306387101355965,0.41481445913159626,0.46089442909464756,0.22496467767480385,0.5365446572929986,0.5426770039954549,0.31280141728135313,0.7276322810845584,0.8105157500616551,0.2569673864532591,32.69737705832036,23.9678955078125,30.975433042923466,27.32588650143428,9.669671342106085,38.05059624213151,2.5504015315979887,1.4087233495479805,3.8104767639778006,4.8,4.0,3.928304843996762,0.825209618318745,0.9258762791049413,0.19865414140820847
test,DUKE,v1_lcc,204,204,0.5754341114590031,0.6812320768942537,0.30136416081260353,0.4591978203109371,0.5165670661954305,0.26605327736674894,0.5975690870467147,0.6886387828093568,0.3315983188454884,0.6490778740036612,0.7676125598682797,0.3196377600323661,23.690936761438135,10.89956465979255,38.00225847433904,19.871659587309363,7.406511404447242,41.70609751269271,2.9793687220123566,1.1054228572831586,8.30995083311921,1.0,1.0,0.0,1.0,1.0,0.0
test,DUKE,v1_raw,204,204,0.5520765816963569,0.6231694608474689,0.24810600323957321,0.4194024013735568,0.4526121157728988,0.22668970513458553,0.525094529338912,0.5473070820955251,0.2849985997085524,0.7445222559032914,0.8154698512901011,0.2261290371929153,31.539201672973004,13.638153484680085,51.21365810251514,19.871659587309363,7.406511404447242,41.70609751269271,4.772084401828215,1.3946324030830293,15.269222803725157,173.45098039215685,94.5,208.37774185245098,0.7848581969379208,0.8512242625378479,0.1993966170418396
test,DUKE,v1v2_intersection,204,204,0.5654436655183473,0.6345047432271603,0.24934688237844777,0.43323895679128066,0.4646710328777579,0.22911179242749954,0.5539399873891188,0.5974008357383656,0.28972660205150885,0.7327925762216159,0.8010316802633564,0.22922006553591587,29.29517432275118,12.107648265223848,48.47828832260227,19.871659587309363,7.406511404447242,41.70609751269271,4.120334504874594,1.2955631369308525,12.327140604891943,163.84313725490196,89.0,203.71167904484932,0.7939230961865791,0.8755990123797246,0.19866559912529283
test,DUKE,v1v2_intersection_lcc,204,204,0.5801850797315876,0.6924947794871315,0.3048014085243198,0.4655570510510388,0.5296326493873762,0.2700341605783219,0.6191964521990254,0.7431596616136948,0.3389021778258634,0.6298557157559158,0.7445970691044372,0.32417889564850005,22.385701780203238,10.143051266100244,36.92374023326113,19.871659587309363,7.406511404447242,41.70609751269271,2.590359435549137,1.0811996465073466,6.701494503116159,1.0,1.0,0.0,1.0,1.0,0.0
test,DUKE,v1v2_union_lcc,204,204,0.5759526914901124,0.6864479900687186,0.3015076852358769,0.4598023687078763,0.5226113032946402,0.26628219489765875,0.5963949282617597,0.6882798641752232,0.33129040585816777,0.651124613649878,0.7698103620660819,0.31988720212640565,23.825575763178886,10.949513642848753,38.04282686826738,19.871659587309363,7.406511404447242,41.70609751269271,3.038060782643993,1.119874582657514,8.402387391762108,1.0,1.0,0.0,1.0,1.0,0.0
test,DUKE,v2_cond_lcc_largestfrac_le_0p5,204,204,0.56209538229504,0.6425362453359245,0.26701329857701606,0.43437004554883657,0.4733358551489549,0.23859928240237238,0.5607345396959433,0.6309155858621719,0.30239142485157633,0.6995388364317087,0.7916915690745289,0.27436735163015946,28.223880742641175,11.163233568494961,48.063104717104984,19.871659587309363,7.406511404447242,41.70609751269271,3.626848811229751,1.250589524415646,10.825990847434184,137.0441176470588,64.5,193.3561073536126,0.8569638448219791,0.9246966511081494,0.151820546689003
