split,method,n_cases,n_rows,dice_mean,dice_median,dice_std,iou_mean,iou_median,iou_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,pred_vol_cm3_mean,pred_vol_cm3_median,pred_vol_cm3_std,gt_vol_cm3_mean,gt_vol_cm3_median,gt_vol_cm3_std,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_median,pred_to_gt_vol_ratio_std,n_components_mean,n_components_median,n_components_std,largest_component_fraction_mean,largest_component_fraction_median,largest_component_fraction_std,dice_ci95_low,dice_ci95_high,family
dev,v2_remove_small_50,159,159,0.5723401512419655,0.6418386766212854,0.2218039081438063,0.4321597274672713,0.4725791152884366,0.2048268640556526,0.5513631317791334,0.6088966725043783,0.2679192959503523,0.7310614470757911,0.800768802791968,0.2220472395191256,32.848161532104385,16.29281180996977,41.32765474158288,27.846511393517343,11.200298614802886,43.306310802881,2.1581669114884448,1.3071110857664234,2.9300491574990004,9.169811320754716,6.0,9.250526873239666,0.8266120028123614,0.8950164187753525,0.1799046005778118,0.5388631234162496,0.6086533212384143,small_component_removal
dev,v2_remove_small_500,159,159,0.5800291415939428,0.657390469907338,0.2258118506738153,0.4410072887729187,0.4896363798802823,0.2082930931134028,0.5628895659029629,0.6326976270199447,0.273999229716124,0.7287935757668108,0.800768802791968,0.2260136399172503,32.20255816985845,15.522157459557366,41.04630648621016,27.846511393517343,11.200298614802886,43.306310802881,2.071244020858509,1.2612307692307692,2.858313244369676,2.088050314465409,2.0,1.2293028167111433,0.8524691237827273,0.9308349008826508,0.1861553882981127,0.5444205729680239,0.6168168680802293,small_component_removal
dev,v2_remove_small_500_fillholes,159,159,0.5845757952660408,0.6626051639106469,0.2280025901549411,0.4464891462188804,0.4954446854663774,0.2117387272212529,0.5645870350566666,0.6332122093023256,0.274031983219593,0.7380973149889579,0.8099147458162299,0.2302556201551662,32.46336432737772,16.2076482137318,41.32664891988326,27.846511393517343,11.200298614802886,43.306310802881,2.084472589101233,1.2616923076923077,2.869301617060378,2.088050314465409,2.0,1.2293028167111433,0.8528825360261768,0.9317168095154802,0.1859419192199613,0.5490732559031891,0.6209075261564845,small_component_removal
dev,v2_remove_small_50_fillholes,159,159,0.5768513922451574,0.6425165562913907,0.2239920793304283,0.4375275281474206,0.4733144697043614,0.2082307434539313,0.5531132859948488,0.6094285514443589,0.2679653684603402,0.7403651862979382,0.8099147458162299,0.2262796954785382,33.109152655992126,16.4250152422866,41.607211488289614,27.846511393517343,11.200298614802886,43.306310802881,2.171423097398882,1.3247537337146489,2.9408091857519367,9.169811320754716,6.0,9.250526873239666,0.8271665449552892,0.8963432471964895,0.1796946026586232,0.5434316540384247,0.6127269776398778,small_component_removal
test,v1_lcc,367,367,0.5588488339906363,0.6742322989315772,0.3000517344448319,0.4418778855456141,0.508559907130201,0.2640833313040001,0.5727326846889002,0.6698583951449764,0.3239925446895985,0.6426935174741438,0.7777095416808825,0.3292255775990412,27.63508796065762,13.210766689640849,35.865131985966,26.4788068248861,9.698839753935315,51.0106544477942,2.795025671966273,1.1498053291154642,7.988685172347771,1.0,1.0,0.0,1.0,1.0,0.0,0.5287490929441159,0.5892528998180386,lcc
test,v1_raw,367,367,0.5441434342903949,0.5902392972950786,0.2377977303007815,0.4091255842480918,0.4186804868106912,0.2200460379058602,0.5130539784226603,0.5411391664521564,0.270721048246502,0.7374590346290976,0.8154658468119236,0.2316449274984203,34.20807540713828,18.4359056133406,44.7361461116065,26.4788068248861,9.698839753935315,51.0106544477942,4.014418340384068,1.4173476903651223,12.578934232269868,142.3950953678474,80.0,174.5114782512962,0.8021329520087068,0.8676616915422886,0.1882013537613897,0.5200181762342554,0.5679997372551707,baseline_raw
test,v1v2_intersection,367,367,0.5522868594032413,0.600292105465447,0.2387087187586457,0.4174775262985635,0.4288695575765563,0.2218145602231801,0.5305517208285193,0.5594039355892909,0.2744499167983413,0.7304444994236453,0.8096468561584841,0.2334052953246589,32.822892589288685,18.10383841809338,42.983890276300166,26.4788068248861,9.698839753935315,51.0106544477942,3.644582413567449,1.369416164554332,10.619367512358153,136.71389645776566,78.0,170.60204355568905,0.807598610871439,0.8797914482115811,0.1872691908757589,0.5278712770868275,0.5764123539892424,v1_v2_intersection
test,v1v2_intersection_lcc,367,367,0.5621772178504117,0.6757191613846903,0.3022531248754118,0.4461778541365802,0.5102536725451935,0.2668147697967239,0.586249192632547,0.6902739124066207,0.3293533515223671,0.6316348251925872,0.7700902521064376,0.3316371460894393,26.833950235930526,12.8900146484375,35.27000610047129,26.4788068248861,9.698839753935315,51.0106544477942,2.573293500383646,1.1243791390728477,7.098789152777241,1.0,1.0,0.0,1.0,1.0,0.0,0.5312094128223842,0.5932927372317381,lcc
test,v1v2_union_lcc,367,367,0.5575508862538907,0.6754093661542871,0.3013011807533717,0.4410173532379578,0.5099004544470894,0.2650995003733395,0.5705872287946735,0.6676404494382022,0.3251437940318101,0.6416988881362954,0.7773140191505034,0.3303893451009254,27.914603420502623,13.279776069081388,36.16020752431867,26.4788068248861,9.698839753935315,51.0106544477942,2.837282588408214,1.1616678460617278,8.042611817408709,1.0,1.0,0.0,1.0,1.0,0.0,0.5271897063348652,0.5875952117907894,lcc
test,v2_cond_lcc_largestfrac_le_0p5,367,367,0.5472107062615924,0.6109503672379256,0.2559353565653043,0.4167600098248297,0.4398333600384553,0.2315527365354266,0.5316695586145531,0.5752697598061873,0.2882417911647234,0.7041708964471797,0.8019371881420605,0.2691572907071622,32.32162762171129,17.006616524252514,43.13142048004708,26.4788068248861,9.698839753935315,51.0106544477942,3.350766706318302,1.320919250747678,9.655876458207832,120.6158038147139,64.0,162.27904548035784,0.8531227968485389,0.913935002813731,0.1517505595175276,0.5216606779637152,0.5729975770040372,lcc
test,v2_cond_lcc_largestfrac_le_0p6,367,367,0.5425212693247083,0.6260923212142724,0.2771452231699007,0.4180557002971033,0.455701886583543,0.2450195204941829,0.5373149594258836,0.6038625999968443,0.3025221905557193,0.6694039294074128,0.785766826038985,0.3024162479416046,30.686510877498822,15.141479178273585,40.95015304732323,26.4788068248861,9.698839753935315,51.0106544477942,2.930985804182286,1.2538827258320129,7.479194707840363,102.16893732970028,52.0,151.61481902971784,0.89928699072261,0.9562671825679666,0.1150061556899322,0.5142041244287833,0.5695773866120487,lcc
