feature_a,feature_b,spearman_rho,abs_rho,n
kin_fg_first_post_s,kin_fg_auc_enh_norm,-0.517970247981449,0.517970247981449,526
kin_first_post_s,kin_fg_auc_enh_norm,-0.517970247981449,0.517970247981449,526
kin_ring_first_post_s,kin_fg_auc_enh_norm,-0.517970247981449,0.517970247981449,526
early_dev_s,kin_fg_auc_enh_norm,-0.5178048368472422,0.5178048368472422,526
kin_early_dev_s,kin_fg_auc_enh_norm,-0.5178048368472422,0.5178048368472422,526
v1_raw_largest_component_fraction,v1_raw_theoretical_max_dice_by_volume_ratio,0.5176320104884834,0.5176320104884834,526
v2_lcc_pred_to_gt_vol_ratio,v2_raw_dice_gap_to_volume_bound,-0.5152938702771677,0.5152938702771677,526
pred_to_gt_vol_ratio,v2_raw_dice_gap_to_volume_bound,-0.5152938702771677,0.5152938702771677,526
kin_tumor_to_ring_auc_norm_diff,kin_gt_auc_enh,0.5142869099068549,0.5142869099068549,526
v1_raw_pred_vol_cm3,v2_raw_n_components_ge50,0.5128742508787949,0.5128742508787949,526
v1_raw_theoretical_max_dice_by_volume_ratio,v1_raw_dice_gap_to_volume_bound,0.5109705866892323,0.5109705866892323,526
v2_lcc_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5105396683388185,0.5105396683388185,526
pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.5105396683388185,0.5105396683388185,526
v1_lcc_pred_to_gt_vol_ratio,v2_raw_theoretical_max_dice_by_volume_ratio,-0.508997399524019,0.508997399524019,526
v1_small100_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.5068842834570354,0.5068842834570354,526
v2_small100_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.505468255743362,0.505468255743362,526
v1_raw_dice_gap_to_volume_bound,v1_lcc_dice_utilization_of_volume_bound,-0.5047689211128646,0.5047689211128646,526
v1_lcc_pred_to_gt_vol_ratio,v2_raw_dice_gap_to_volume_bound,-0.5047643234897294,0.5047643234897294,526
v1_small50_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.5045895978899347,0.5045895978899347,526
v2_small50_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.503384741606688,0.503384741606688,526
v1_small50_pred_vol_cm3,v2_raw_n_components_ge50,0.5021096888856507,0.5021096888856507,526
kin_fg_auc_enh_norm,kin_fg_washout_index,0.5017309479398157,0.5017309479398157,526
kin_fg_max_enh,kin_fg_washout_index,0.49920788985267023,0.49920788985267023,526
kin_ring_max_enh,kin_fg_auc_enh,0.49636149811328917,0.49636149811328917,526
v1_small100_pred_vol_cm3,v2_raw_n_components_ge50,0.49615087882055325,0.49615087882055325,526
v1_raw_largest_component_fraction,v2_raw_theoretical_max_dice_by_volume_ratio,0.494400596986004,0.494400596986004,526
v1_raw_pred_to_gt_vol_ratio,log_gt_vol_cm3,-0.49378373893406247,0.49378373893406247,526
gt_vol_cm3,v1_raw_pred_to_gt_vol_ratio,-0.49378373893406247,0.49378373893406247,526
v2_raw_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.49304435032936267,0.49304435032936267,526
v1_raw_pred_to_gt_vol_ratio,v1_raw_dice_gap_to_volume_bound,-0.4917714673260449,0.4917714673260449,526
v1_raw_n_components_ge50,v1_raw_largest_component_fraction,-0.49032831196663657,0.49032831196663657,526
v2_raw_theoretical_max_dice_by_volume_ratio,v1_raw_dice_gap_to_volume_bound,0.48908915313948464,0.48908915313948464,526
v2_raw_pred_vol_cm3,v2_raw_n_components_ge50,0.48813877152169005,0.48813877152169005,526
v2_raw_n_components_ge50,v2_raw_largest_component_fraction,-0.48646400034373855,0.48646400034373855,526
v1_raw_pred_vol_cm3,v1_raw_n_components_ge50,0.4863257807891093,0.4863257807891093,526
kin_ring_auc_enh_norm,kin_fg_auc_enh,0.4855534128283964,0.4855534128283964,526
v1_small50_pred_to_gt_vol_ratio,log_gt_vol_cm3,-0.4826348603957712,0.4826348603957712,526
gt_vol_cm3,v1_small50_pred_to_gt_vol_ratio,-0.4826348603957712,0.4826348603957712,526
v2_raw_dice_gap_to_volume_bound,v2_lcc_dice_utilization_of_volume_bound,-0.48168873839166904,0.48168873839166904,526
v2_raw_theoretical_max_dice_by_volume_ratio,v2_raw_dice_gap_to_volume_bound,0.4801841668839742,0.4801841668839742,526
v1_small100_pred_to_gt_vol_ratio,log_gt_vol_cm3,-0.47760352172268394,0.47760352172268394,526
gt_vol_cm3,v1_small100_pred_to_gt_vol_ratio,-0.47760352172268394,0.47760352172268394,526
gt_vol_cm3,v2_raw_pred_to_gt_vol_ratio,-0.47718612625965384,0.47718612625965384,526
v2_raw_pred_to_gt_vol_ratio,log_gt_vol_cm3,-0.47718612625965384,0.47718612625965384,526
v2_small50_pred_vol_cm3,v2_raw_n_components_ge50,0.4766741016205106,0.4766741016205106,526
v1_raw_n_components,kin_selected_max_enh,0.47654686617798564,0.47654686617798564,525
v2_raw_second_largest_component_fraction,v1_raw_theoretical_max_dice_by_volume_ratio,-0.4761155093706807,0.4761155093706807,526
v1_small50_pred_vol_cm3,v1_raw_n_components_ge50,0.47493546469116565,0.47493546469116565,526
v1_raw_n_components_ge50,v2_raw_largest_component_fraction,-0.4732984956752976,0.4732984956752976,526
v2_raw_dice_gap_to_volume_bound,v1_raw_theoretical_max_dice_by_volume_ratio,0.4728717479878006,0.4728717479878006,526
kin_fg_max_enh,kin_selected_max_enh,0.47215104635300265,0.47215104635300265,525
v2_raw_n_components,kin_selected_max_enh,0.47119626569134243,0.47119626569134243,525
kin_selected_max_enh,kin_n_components,0.4711962656913424,0.4711962656913424,525
v1_raw_n_components_ge100,v1_raw_second_largest_component_fraction,0.469848695002326,0.469848695002326,526
v2_small100_pred_vol_cm3,v2_raw_n_components_ge50,0.46939764070217194,0.46939764070217194,526
v1_small100_pred_vol_cm3,v1_raw_n_components_ge50,0.4684912601641754,0.4684912601641754,526
v1_raw_largest_component_fraction,v2_raw_n_components_ge50,-0.46660006041259067,0.46660006041259067,526
v1_raw_second_largest_component_fraction,v1_raw_theoretical_max_dice_by_volume_ratio,-0.4663406056645643,0.4663406056645643,526
v2_small50_pred_to_gt_vol_ratio,log_gt_vol_cm3,-0.4650607963042938,0.4650607963042938,526
gt_vol_cm3,v2_small50_pred_to_gt_vol_ratio,-0.4650607963042938,0.4650607963042938,526
kin_gt_max_enh,kin_gt_late_slope,-0.4643905837853979,0.4643905837853979,283
v2_raw_second_largest_component_fraction,v2_raw_theoretical_max_dice_by_volume_ratio,-0.46357534010783263,0.46357534010783263,526
gt_vol_cm3,v2_small100_pred_to_gt_vol_ratio,-0.4604612830045547,0.4604612830045547,526
v2_small100_pred_to_gt_vol_ratio,log_gt_vol_cm3,-0.4604612830045547,0.4604612830045547,526
kin_fg_auc_enh_norm,kin_selected_max_enh,0.4594476947891745,0.4594476947891745,525
v2_small100_pred_to_gt_vol_ratio,v2_raw_dice_gap_to_volume_bound,-0.4582484768714305,0.4582484768714305,526
v1_raw_n_components_ge50,v2_raw_pred_vol_cm3,0.4572348204226296,0.4572348204226296,526
v2_raw_second_largest_component_fraction,v1_raw_pred_to_gt_vol_ratio,0.45593861928433826,0.45593861928433826,526
v2_small50_pred_to_gt_vol_ratio,v2_raw_dice_gap_to_volume_bound,-0.4555167711632673,0.4555167711632673,526
