primary_failure_type,method,n_cases,dice_mean,dice_std,dice_median,iou_mean,iou_std,iou_median,precision_mean,precision_std,precision_median,recall_mean,recall_std,recall_median,pred_vol_cm3_mean,pred_vol_cm3_std,pred_vol_cm3_median,gt_vol_cm3_mean,gt_vol_cm3_std,gt_vol_cm3_median,pred_to_gt_vol_ratio_mean,pred_to_gt_vol_ratio_std,pred_to_gt_vol_ratio_median,largest_component_fraction_mean,largest_component_fraction_std,largest_component_fraction_median
oversegmentation,v1_lcc,16,0.5541717735969913,0.06449580690517487,0.5533824126981468,0.3858056628170673,0.06026523037935309,0.38253562827314763,0.43403847816233154,0.05602221617035708,0.4565794952708899,0.7768949154329227,0.11198977548063836,0.7791123597847724,59.13037496328745,55.434901255932594,41.80256415126108,36.47973422482882,39.19174333402678,21.88959988039799,1.8066864207770317,0.2819569319924702,1.8136089025882947,,,
oversegmentation,v2_raw,16,0.4986852596302727,0.08593659595930418,0.5061358562580727,0.3361873300703453,0.07509137440016841,0.338810046265908,0.37420171502897825,0.07789638880329997,0.3797139422029273,0.770314556408944,0.11017044662049412,0.770883044354913,67.3337256462147,63.989040676838464,45.28679490055938,36.47973422482882,39.19174333402678,21.88959988039799,2.1508616346647544,0.6018740053129571,1.9872390300490093,0.8240180153642314,0.14002110595539283,0.8509064358036985
oversegmentation,v2_lcc,16,0.565672376523066,0.06039791310937052,0.5623833603965797,0.39659285159819924,0.05613486527545728,0.3911945937806524,0.45077948279705526,0.04834348133841334,0.45707701234698916,0.766544222017833,0.11079555042382636,0.767835336067503,56.58822646492705,52.322774373133406,41.80405676522936,36.47973422482882,39.19174333402678,21.88959988039799,1.7059168628015093,0.20526300761531854,1.730932791817504,,,
oversegmentation,v1_small50,16,0.4919300326079586,0.09490132270734045,0.49288851805069295,0.33107798900651386,0.08288006641768465,0.3270727572990217,0.3662192225561741,0.0878551887349845,0.36484596330871877,0.7793876331505543,0.1126448398130471,0.7792176155562972,70.91694029328417,73.18102136498503,44.70496631373199,36.47973422482882,39.19174333402678,21.88959988039799,2.2559204499803713,0.6990325782474826,2.019689020285072,,,
oversegmentation,v1_small100,16,0.4952333435727811,0.09499777325791754,0.49662563788473424,0.3340265146409094,0.0832434457983296,0.3303492809776389,0.36972713256560114,0.08799414972622119,0.3688404430246447,0.779254656178543,0.11264114871285522,0.7791123597847724,70.37992435849657,72.76258846695065,44.53104441516543,36.47973422482882,39.19174333402678,21.88959988039799,2.231452550107938,0.685301744071143,2.0001847008662472,,,
oversegmentation,v2_small50,16,0.5085242807533057,0.0868318069438456,0.5145174081581418,0.3451209523380391,0.07650075428741288,0.3463731195542565,0.38553376350588764,0.07902085946698548,0.3940079378922939,0.7689074237637269,0.11119970285324524,0.7694288288044903,65.4703652423364,62.112329125685875,44.70618701685699,36.47973422482882,39.19174333402678,21.88959988039799,2.082041601116969,0.5856020831010919,1.934369395701092,,,
oversegmentation,v2_small100,16,0.511803323060317,0.08727837733579427,0.5191822321725588,0.3481390563841899,0.07710040375901399,0.35063246136462756,0.3893135585796549,0.07944052887004788,0.3978898751332202,0.7683805826473636,0.1111558965046494,0.767835336067503,64.97001177108694,61.728624736377995,44.53226511829043,36.47973422482882,39.19174333402678,21.88959988039799,2.0596092001927246,0.5789394391918135,1.923877233838665,,,
oversegmentation,kin_v1_raw,16,0.4826340713894467,0.09454640523674954,0.4819833104163108,,,,0.35609387609786536,0.08731694117589368,0.3466517747788898,0.7807680742969343,0.11168907698376716,0.7807069163638948,,,,36.47973422482882,39.19174333402678,21.88959988039799,,,,,,
oversegmentation,kin_v1_lcc,16,0.5541717735969913,0.06449580690517487,0.5533824126981468,,,,0.43403847816233154,0.05602221617035708,0.4565794952708899,0.7768949154329227,0.11198977548063836,0.7791123597847724,,,,36.47973422482882,39.19174333402678,21.88959988039799,,,,,,
oversegmentation,kin_v2_raw,16,0.4986852596302727,0.08593659595930418,0.5061358562580727,,,,0.37420171502897825,0.07789638880329997,0.3797139422029273,0.770314556408944,0.11017044662049412,0.770883044354913,,,,36.47973422482882,39.19174333402678,21.88959988039799,,,,,,
